"Path 1","Path 2","Path 3","URLs","Indexable","Non-Indexable"
"https/","","","40","12","28"
"","www.infernux.no/","","39","12","27"
"","","img/","6","5","1"
"","","css/","3","3","0"
"","","js/","3","3","0"
"","","securingwindowsserver32/","2","0","2"
"","","aboutme","1","0","1"
"","","PracticalHacking/","1","0","1"
"","","AzureLighthouse-UserManagedIdentity/","1","0","1"
"","","feed.xml","1","1","0"
"","","automation-rules/","1","0","1"
"","","SecuringWindowsServer/","1","0","1"
"","","Archive","1","0","1"
"","","page2","1","0","1"
"","","building_a_function/","1","0","1"
"","","securingwindowsserver12/","1","0","1"
"","","securingwindowsserver22/","1","0","1"
"","","errorhandling/","1","0","1"
"","","aboutme/","1","0","1"
"","","page2/","1","0","1"
"","","Archive/","1","0","1"
"","","securingwindowsserver13/","1","0","1"
"","","securingwindowsserver11/","1","0","1"
"","","securingwindowsserver21/","1","0","1"
"","","securingwindowsserver31/","1","0","1"
"","","powershell/","1","0","1"
"","","2019-02-22-securingwindowsserver31/","1","0","1"
"","","powershell_getnetworkcred/","1","0","1"
"","","page3","1","0","1"
"","","page3/","1","0","1"
"","infernux.no/","","1","0","1"
